workerid,hyp,trial
965,49,1
965,49,11
965,49,10
965,49,7
965,50,2
965,50,14
965,49,13
965,48,5
972,84,16
972,26,11
972,84,4
972,100,18
972,49,9
972,55,14
972,64,7
972,61,2
972,53,12
972,54,13
972,59,8
972,72,1
972,51,3
972,54,6
972,41,5
972,82,10
972,79,15
972,70,17
